iso3,year,disaster_deaths_per_100k
AUT,2022,4.6870017
AUT,2003,4.2487135
AUT,2012,0.059314508
AUT,2023,0.08929607
AZE,2000,0.51279916
AZE,1995,0.063376695
AZE,1997,0.13749883
AZE,2003,0
AZE,2009,0
AZE,2010,0.032477364
AZE,1998,0.01243611
AZE,1999,0.012343474
AZE,2012,0.052711606
BHS,2013,0
BHS,1990,0
BHS,1992,1.4185302
BHS,1995,0
BHS,1999,0.31222486
BHS,2001,0
BHS,2004,3.497553
BHS,2005,0.28750917
BHS,2007,0.27958107
BHS,2008,0
BHS,2011,0
BHS,2012,0.26173007
BHS,2015,8.403212
BHS,2016,0
BHS,2017,0
BHS,2019,87.996185
BGD,1989,1.111601856
BGD,2009,0.17722422
BGD,1990,0.953823946
BGD,1991,127.5653496
BGD,1992,0.106046344
BGD,1993,0.56957066
BGD,1994,0.302729142
BGD,1995,1.37019635
BGD,1996,0.73492077
BGD,1997,0.458868823
BGD,1998,1.19903046
BGD,1999,0.260345128
BGD,2000,0.147840444
BGD,2001,0.192146314
BGD,2002,0.282540988
BGD,2003,0.646871217
BGD,2004,0.793286399
BGD,2005,0.200124068
BGD,2006,0.143028585
BGD,2007,3.90950401
BGD,2008,0.04676068
BGD,2010,0.131409465
BGD,2011,0.067904477
BGD,2012,0.194620765
BGD,2014,0.050653588
BGD,2015,0.100741301
BGD,2016,0.123916843
BGD,2017,0.19963661
BGD,2018,0.06231521
BGD,2019,0.157084302
BGD,2020,0.169034997
BGD,2021,0.014171311
BGD,2022,0.102811924
BGD,2023,0.011563747
BGD,2013,0.063623909
BRB,2010,0
BRB,2007,0
BRB,1995,0
BRB,2002,0
BRB,2004,0.37242007
BRB,2017,0.35816747
BRB,2021,0
BRB,2023,0
BLR,1993,0
BLR,1996,0
BLR,1999,0.019401876
BLR,2018,0
BLR,2023,0
BLR,1997,0.048072644
BLR,2007,0
BLR,2000,0
BLR,2006,0.05063445
BLR,2012,0
BLR,2013,0.0412748
BLR,2014,0.02063187
BLR,2017,0.4429394
BEL,1993,0
BEL,1994,0
BEL,1998,0.009814948
BEL,2002,0.06759648
BEL,2003,11.295307
BEL,2005,0.019016868
BEL,2010,0.03677164
BEL,2011,0.04563817
BEL,2016,0.017672782
BEL,2021,0.33587635
BEL,2023,0.01711428
BEL,1992,0
BEL,1990,0.16064958
BEL,1995,0.059434164
BEL,1999,0.01956139
BEL,2007,0.018772824
BEL,2008,0
BEL,2013,0
BEL,2014,0
BEL,2018,0.008734694
BEL,2020,15.136162
BEL,2022,3.74058766
BEL,2006,8.8821945
BEL,2009,0.009258096
BEL,2012,0.027195739
BEL,2015,3.6449933
BEL,2019,5.673047
BLZ,1990,0
BLZ,1995,0
BLZ,2008,2.617056
BLZ,2015,0
BLZ,1998,4.0014763
BLZ,2000,5.823143
BLZ,2001,12.09146
BLZ,2005,1.0699536
BLZ,2007,0
BLZ,2010,0
BLZ,2016,0
BLZ,2020,0
BLZ,2022,0
