iso1,iso2,common_official_language,common_spoken_language,linguistic_proximity
ALB,CAF,0,0,0
ALB,TCD,0,0,0
ALB,CHL,0,0,0.25
ALB,CHN,0,0,0
ALB,HKG,0,0,0
ALB,COL,0,0,0.25
ALB,COM,0,0,0
ALB,COG,0,0,0
ALB,COK,0,0,0
ALB,CRI,0,0,0.25
ALB,HRV,0,0,0.25
ALB,CUB,0,0,0.25
ALB,CYP,0,0.015799999237060547,0.19750000536441803
ALB,CZE,0,0,0.25
ALB,CIV,0,0,0
ALB,COD,0,0,0
ALB,DNK,0,0,0.25
ALB,DJI,0,0,0
ALB,DMA,0,0,0.25
ALB,DOM,0,0,0.25
ALB,ECU,0,0,0.25
ALB,EGY,0,1.9999999494757503e-4,0
ALB,SLV,0,0,0.25
ALB,ERI,0,0,0
ALB,EST,0,0,0.042500000447034836
ALB,FLK,0,0,0.25
ALB,FJI,0,0,0.125
ALB,FIN,0,0,0
ALB,FRA,0,0,0.25
ALB,GAB,0,0,0
ALB,GMB,0,0,0
ALB,GEO,0,0,0
ALB,DEU,0,0,0.25
ALB,GHA,0,0,0
ALB,GIB,0,0,0.25
ALB,GRC,0,0.01979999989271164,0.25
ALB,GRL,0,0,0.25
ALB,GRD,0,0,0.25
ALB,GTM,0,0,0.25
ALB,GIN,0,0,0
ALB,GNB,0,0,0
ALB,GUY,0,0,0.25
ALB,HTI,0,0,0.25
ALB,HND,0,0,0.25
ALB,HUN,0,0,0
ALB,ISL,0,0,0.25
ALB,IND,0,0,0
ALB,IDN,0,0,0
ALB,IRN,0,0,0.18000000715255737
ALB,IRQ,0,0,0
ALB,IRL,0,0,0.25
ALB,ISR,0,0,0.032499998807907104
ALB,ITA,0,0,0.25
ALB,JAM,0,0,0.25
ALB,JPN,0,0,0
ALB,JOR,0,0,0
ALB,KAZ,0,0,0.10249999910593033
ALB,KEN,0,0,0
ALB,KIR,0,0,0
ALB,KWT,0,0,0
ALB,KGZ,0,0,0.06750000268220901
ALB,LAO,0,0,0
ALB,LVA,0,0,0.25
ALB,LBN,0,0,0
ALB,LBR,0,0,0
ALB,LBY,0,0,0
ALB,LTU,0,0,0.25
ALB,MDG,0,0,0
ALB,MWI,0,0,0
ALB,MYS,0,0,0
ALB,MLI,0,0,0
ALB,MLT,0,0,0
ALB,MHL,0,0,0.25
ALB,MRT,0,0,0
ALB,MUS,0,0,0.25
ALB,MEX,0,0,0.25
ALB,FSM,0,0,0
ALB,MSR,0,0,0.25
ALB,MAR,0,0,0
ALB,MOZ,0,0,0
ALB,NRU,0,0,0
ALB,NPL,0,0,0.25
ALB,NLD,0,0,0.25
ALB,ANT,0,0,0.25
ALB,NCL,0,0,0.25
ALB,NZL,0,0,0.25
ALB,NIC,0,0,0.25
ALB,NER,0,0,0
ALB,NGA,0,0,0
ALB,NIU,0,0,0
ALB,NFK,0,0,0.25
ALB,MNP,0,0,0
ALB,NOR,0,0,0.25
ALB,OMN,0,0,0
ALB,PAK,0,0,0.25
ALB,PLW,0,0,0
ALB,PAN,0,0,0.25
ALB,PNG,0,0,0
ALB,PRY,0,0,0
ALB,PER,0,0,0.25
ALB,PHL,0,0,0
ALB,PCN,0,0,0.25
ALB,POL,0,0,0.25
ALB,PRT,0,0,0.25
ALB,QAT,0,0,0
ALB,KOR,0,0,0
ALB,MDA,0,0,0.25
ALB,ROU,0,0,0.25
ALB,RUS,0,0,0.25
ALB,RWA,0,0,0
ALB,SHN,0,0,0.25
ALB,KNA,0,0,0.25
ALB,LCA,0,0,0.25
ALB,SPM,0,0,0.25
ALB,VCT,0,0,0.25
ALB,STP,0,0,0.25
ALB,SAU,0,0,0
ALB,SEN,0,0,0
ALB,SYC,0,0,0.25
ALB,SLE,0,0,0
ALB,SGP,0,0,0.05999999865889549
ALB,SVK,0,0,0.25
ALB,SVN,0,0,0.25
ALB,SLB,0,0,0
ALB,SOM,0,0,0
ALB,ZAF,0,0,0
ALB,ESP,0,0,0.25
ALB,LKA,0,0,0.25
ALB,SDN,0,0,0
ALB,SUR,0,0,0.25
ALB,SWE,0,0,0.25
ALB,CHE,0,0,0.25
ALB,SYR,0,0,0
ALB,TWN,0,0,0
ALB,TJK,0,0,0.25
ALB,THA,0,0,0
ALB,MKD,0,0.23749999701976776,0.25
ALB,TGO,0,0,0
ALB,TON,0,0,0
ALB,TTO,0,0,0.25
ALB,TUN,0,0,0
ALB,TUR,0,0,0
ALB,TKM,0,0,0
ALB,TCA,0,0,0.25
ALB,TUV,0,0,0
ALB,UGA,0,0,0
ALB,UKR,0,0,0.25
ALB,ARE,0,0,0
ALB,GBR,0,0,0.25
ALB,TZA,0,0,0
ALB,USA,0,0,0.25
ALB,URY,0,0,0.25
ALB,UZB,0,0,0.03999999910593033
ALB,VUT,0,0,0
ALB,VEN,0,0,0.25
ALB,VNM,0,0,0
ALB,YEM,0,0,0
ALB,ZMB,0,0,0
ALB,ZWE,0,0,0
DZA,AFG,0,0,0
DZA,ALB,0,0,0
DZA,AND,1,0.41446825861930847,0
DZA,AGO,0,0,0
DZA,AIA,0,0,0
DZA,ATG,0,0,0
DZA,ARG,0,0.00989999994635582,0
DZA,ARM,0,0,0
DZA,ABW,0,0.007499999832361937,0
DZA,AUS,0,0.007198600098490715,0
DZA,AUT,0,0.06397820264101028,0
DZA,AZE,0,0,0
DZA,BHS,0,0,0
DZA,BHR,1,0.6089999675750732,0
DZA,BGD,0,0,0
DZA,BRB,0,0,0
DZA,BLR,0,0,0
DZA,BLX,1,0.4988293945789337,0
DZA,BLZ,0,0.00430000014603138,0
DZA,BEN,1,0.14819999039173126,0
DZA,BMU,0,0,0
DZA,BTN,0,0,0
DZA,BOL,0,0.008799999952316284,0
DZA,BIH,0,0,0
DZA,BRA,0,5.999999702908099e-4,0
DZA,VGB,0,0,0
DZA,BRN,0,1.9999999494757503e-4,0
DZA,BGR,0,0.05148974061012268,0
DZA,BFA,1,0.02850000001490116,0
DZA,BDI,1,0.04559999704360962,0
DZA,KHM,0,0.005699999630451202,0
DZA,CMR,1,0.2564999759197235,0
DZA,CAN,1,0.19974014163017273,0
DZA,CPV,0,0,0
DZA,CYM,0,5.000000237487257e-4,0
DZA,CAF,1,0.13109999895095825,0
DZA,TCD,1,0.27525201439857483,0
DZA,CHL,0,0.00989999994635582,0
DZA,CHN,0,0,0
DZA,HKG,0,0,0
DZA,COL,0,0.00989999994635582,0
DZA,COM,1,0.5600078701972961,0
DZA,COG,1,0.34200000762939453,0
DZA,COK,0,0,0
DZA,CRI,0,0.00989999994635582,0
DZA,HRV,0,0.022995438426733017,0
DZA,CUB,0,0.00989999994635582,0
DZA,CYP,0,0.07510751485824585,0
DZA,CZE,0,0.005699999630451202,0
DZA,CIV,1,0.39906007051467896,0
DZA,COD,1,0.2280000001192093,0
DZA,DNK,0,0.06886579841375351,0
DZA,DJI,1,0.5357360243797302,0
DZA,DMA,0,0.05130000039935112,0
DZA,DOM,0,0.009999999776482582,0
DZA,ECU,0,0.009800000116229057,0
DZA,EGY,1,0.6930000185966492,0
DZA,SLV,0,0.009999999776482582,0
DZA,ERI,0,0.4129999876022339,0.5
DZA,EST,0,0.005699999630451202,0
DZA,FLK,0,0,0
DZA,FJI,0,0,0
DZA,FIN,0,0.017296578735113144,0
DZA,FRA,1,0.5709661841392517,0
DZA,GAB,1,0.4560000002384186,0
DZA,GMB,0,0,0
DZA,GEO,0,0,0
DZA,DEU,0,0.09226729720830917,0
DZA,GHA,0,0,0
DZA,GIB,0,0.004999999888241291,0
DZA,GRC,0,0.04569543898105621,0
DZA,GRL,0,0,0
DZA,GRD,0,0,0
DZA,GTM,0,0.00860000029206276,0
DZA,GIN,1,0.35339999198913574,0
DZA,GNB,0,0,0
DZA,GUY,0,0,0
DZA,HTI,1,0.4560000002384186,0
DZA,HND,0,0.00989999994635582,0
DZA,HUN,0,9.999999747378752e-5,0
DZA,ISL,0,0,0
DZA,IND,0,0,0
DZA,IDN,0,0,0
DZA,IRN,0,0.0139999995008111,0
DZA,IRQ,1,0.4479999840259552,0
DZA,IRL,0,0.1142657995223999,0
DZA,ISR,0,0.14725589752197266,0
DZA,ITA,0,0.09305088222026825,0
DZA,JAM,0,0,0
DZA,JPN,0,0,0
DZA,JOR,1,0.6859999895095825,0
DZA,KAZ,0,0,0
DZA,KEN,0,0,0
DZA,KIR,0,0,0
DZA,KWT,1,0.6859999895095825,0
DZA,KGZ,0,0,0
DZA,LAO,0,0.005699999630451202,0
DZA,LVA,0,0.005699999630451202,0
DZA,LBN,1,0.8023369908332825,0
DZA,LBR,0,0,0
DZA,LBY,1,0.6859999895095825,0
DZA,LTU,0,0.011498859152197838,0
DZA,MDG,1,0.11400000005960464,0
DZA,MWI,0,0,0
DZA,MYS,0,0,0
DZA,MLI,1,0.09119999408721924,0
DZA,MLT,0,0.1097240224480629,0.75
DZA,MHL,0,0,0
DZA,MRT,1,0.6510000228881836,0
DZA,MUS,1,0.41609999537467957,0
DZA,MEX,0,0.00989999994635582,0
DZA,FSM,0,0,0
DZA,MSR,0,0,0
DZA,MAR,1,0.6153924465179443,0
DZA,MOZ,0,0,0
DZA,NRU,0,0,0
DZA,NPL,0,0,0
DZA,NLD,0,0.16571734845638275,0
DZA,ANT,0,0.00559999980032444,0
DZA,NCL,1,0.5529000163078308,0
DZA,NZL,0,9.999999747378752e-5,0
DZA,NIC,0,0.009700000286102295,0
DZA,NER,1,0.2438860982656479,0
DZA,NGA,0,0,0
DZA,NIU,0,0,0
DZA,NFK,0,0,0
DZA,MNP,0,0,0
DZA,NOR,0,9.999999747378752e-5,0
DZA,OMN,1,0.5669999718666077,0
DZA,PAK,0,0,0
DZA,PLW,0,0,0
DZA,PAN,0,0.00930000003427267,0
DZA,PNG,0,0,0
DZA,PRY,0,0.00699999975040555,0
DZA,PER,0,0.008700000122189522,0
DZA,PHL,0,2.9999998514540493e-4,0
DZA,PCN,0,0,0
DZA,POL,0,0.017198288813233376,0
DZA,PRT,0,0.1375768780708313,0
DZA,QAT,1,0.6229999661445618,0
DZA,KOR,0,0,0
DZA,MDA,0,0,0
DZA,ROU,0,0.13705895841121674,0
DZA,RUS,0,0,0
DZA,RWA,1,0.05130000039935112,0
DZA,SHN,0,0,0
DZA,KNA,0,0,0
DZA,LCA,0,0.011399999260902405,0
DZA,SPM,1,0.5699999928474426,0
DZA,VCT,0,0,0
DZA,STP,1,0.37049996852874756,0
DZA,SAU,1,0.6229999661445618,0
DZA,SEN,1,0.17678232491016388,0
DZA,SYC,1,0.34200000762939453,0
DZA,SLE,0,0,0
DZA,SGP,0,0,0
DZA,SVK,0,0.011498859152197838,0
DZA,SVN,0,0.022995438426733017,0
DZA,SLB,0,0,0
DZA,SOM,0,0,0.25
DZA,ZAF,0,0,0
DZA,ESP,0,0.07762283831834793,0
DZA,LKA,0,0,0
DZA,SDN,1,0.4270000159740448,0
DZA,SUR,0,0,0
DZA,SWE,0,0.0698234811425209,0
DZA,CHE,1,0.27374526858329773,0
DZA,SYR,1,0.6439999938011169,0
DZA,TWN,0,0,0
DZA,TJK,0,0,0
DZA,THA,0,0,0
DZA,MKD,0,0,0
DZA,TGO,1,0.18810001015663147,0
DZA,TON,0,0,0
DZA,TTO,0,0,0
DZA,TUN,1,0.8049936294555664,0
DZA,TUR,0,0.02658030018210411,0
DZA,TKM,0,0,0
DZA,TCA,0,0,0
DZA,TUV,0,0,0
DZA,UGA,0,0,0
DZA,UKR,0,0,0
DZA,ARE,1,0.5459999442100525,0
DZA,GBR,0,0.13179512321949005,0
DZA,TZA,0,0.07000000029802322,0
DZA,USA,0,0.007290879730135202,0
DZA,URY,0,0.00989999994635582,0
DZA,UZB,0,0,0
DZA,VUT,1,0.2564999759197235,0
DZA,VEN,0,0.00989999994635582,0
DZA,VNM,0,0.005699999630451202,0
DZA,YEM,1,0.6649999618530273,0
DZA,ZMB,0,0,0
DZA,ZWE,0,0,0
AND,AFG,0,0,0.25
AND,ALB,0,0,0.25
AND,DZA,1,0.41446825861930847,0
AND,AGO,0,0,0.6050000190734863
AND,AIA,0,0.20239999890327454,0.25
AND,ATG,0,0.17599999904632568,0.25
AND,ARG,1,0.6830999851226807,0.28999999165534973
AND,ARM,0,0,0.25
AND,ABW,0,0.5620830059051514,0.6449999809265137
AND,AUS,0,0.22425508499145508,0.25
AND,AUT,0,0.21449103951454163,0.25
AND,AZE,0,0,0
AND,BHS,0,0.19140000641345978,0.25
AND,BHR,0,0,0
AND,BGD,0,0.004399999976158142,0.25
AND,BRB,0,0.21780000627040863,0.25
AND,BLR,0,0,0.25
AND,BLX,1,0.6889079213142395,0.23280000686645508
AND,BLZ,0,0.42357534170150757,0.26440000534057617
AND,BEN,1,0.18719999492168427,0
AND,BMU,0,0.2134000062942505,0.25
AND,BTN,0,0.02419999986886978,0.11249999701976776
AND,BOL,1,0.6071999669075012,0.1565999984741211
AND,BIH,0,0.0989999994635582,0.25
AND,BRA,0,0.0414000004529953,0.6050000190734863
AND,VGB,0,0.2199999988079071,0.25
AND,BRN,0,0.09624632447957993,0
AND,BGR,0,0.1250268816947937,0.25
AND,BFA,1,0.036000002175569534,0
AND,BDI,1,0.057600002735853195,0
AND,KHM,0,0.007200000341981649,0
AND,CMR,1,0.38646242022514343,0
AND,CAN,1,0.40735960006713867,0.23800000548362732
AND,CPV,0,0,0.25
AND,CYM,0,0.24266178905963898,0.25
AND,CAF,1,0.1656000167131424,0
AND,TCD,1,0.14400000870227814,0
AND,CHL,1,0.6830999851226807,0.28999999165534973
AND,CHN,0,0.002199999988079071,0
AND,HKG,0,0.07919999957084656,0
AND,COL,1,0.6830999851226807,0.28999999165534973
AND,COM,1,0.3384000062942505,0
AND,COG,1,0.4320000410079956,0
AND,COK,0,0.04399999976158142,0
AND,CRI,1,0.6830999851226807,0.28999999165534973
AND,HRV,0,0.14580771327018738,0.25
AND,CUB,1,0.6830999851226807,0.28999999165534973
AND,CYP,0,0.25064656138420105,0.19749999046325684
AND,CZE,0,0.05961984023451805,0.25
AND,CIV,1,0.5074223875999451,0
AND,COD,1,0.2880000174045563,0
AND,DNK,0,0.28722572326660156,0.25
AND,DJI,1,0.14400000870227814,0
AND,DMA,0,0.2581993639469147,0.20999997854232788
AND,DOM,1,0.6899999976158142,0.28999999165534973
AND,ECU,1,0.6762000322341919,0.28999999165534973
AND,EGY,0,0,0
AND,SLV,1,0.6899999976158142,0.28999999165534973
AND,ERI,0,0,0
AND,EST,0,0.10767136514186859,0.042500000447034836
AND,FLK,0,0.21119999885559082,0.25
AND,FJI,0,0.04619999974966049,0.125
AND,FIN,0,0.1690935492515564,0
AND,FRA,1,0.7613081336021423,0.20999997854232788
AND,GAB,1,0.5760000348091125,0
AND,GMB,0,0.004399999976158142,0
AND,GEO,0,0,0
AND,DEU,0,0.24209408462047577,0.25
AND,GHA,0,0.013199999928474426,0
AND,GIB,0,0.48333603143692017,0.2587999701499939
AND,GRC,0,0.16328880190849304,0.25
AND,GRL,0,0,0.25
AND,GRD,0,0.20020000636577606,0.25
AND,GTM,1,0.5934000015258789,0.28999999165534973
AND,GIN,1,0.4464000165462494,0
AND,GNB,0,0,0
AND,GUY,0,0.20020000636577606,0.25
AND,HTI,1,0.5760000348091125,0.6449999809265137
AND,HND,1,0.6830999851226807,0.28999999165534973
AND,HUN,0,0.057150859385728836,0
AND,ISL,0,0.19579999148845673,0.25
AND,IND,0,0.050599999725818634,0
AND,IDN,0,0,0
AND,IRN,0,0,0.18000000715255737
AND,IRQ,0,0,0
AND,IRL,0,0.3447906970977783,0.25
AND,ISR,0,0.12842299044132233,0.032499998807907104
AND,ITA,0,0.18298688530921936,0.5
AND,JAM,0,0.21559999883174896,0.25
AND,JPN,0,0.026399999856948853,0
AND,JOR,0,0,0
AND,KAZ,0,0,0.10249999165534973
AND,KEN,0,0.015399999916553497,0
AND,KIR,0,0.052799999713897705,0
AND,KWT,0,0,0
AND,KGZ,0,0,0.06749999523162842
AND,LAO,0,0.007200000341981649,0
AND,LVA,0,0.09238224476575851,0.2499999850988388
AND,LBN,1,0.4972600042819977,0
AND,LBR,0,0.1825999915599823,0
AND,LBY,0,0,0
AND,LTU,0,0.09020048379898071,0.25
AND,MDG,1,0.14400000870227814,0
AND,MWI,0,0.008799999952316284,0
AND,MYS,0,0.05940000340342522,0
AND,MLI,1,0.11520000547170639,0
AND,MLT,0,0.3034316897392273,0
AND,MHL,0,0.21559999883174896,0.25
AND,MRT,0,0,0
AND,MUS,1,0.5422989130020142,0.6449999809265137
AND,MEX,1,0.6865859031677246,0.28999999165534973
AND,FSM,0,0.12759999930858612,0
AND,MSR,0,0.14959999918937683,0.25
AND,MAR,1,0.3533323109149933,0
AND,MOZ,0,0,0
AND,NRU,0,0.2134000062942505,0
AND,NPL,0,0,0.25
AND,NLD,0,0.3875320851802826,0.25
AND,ANT,0,0.38774994015693665,0.6449999809265137
AND,NCL,1,0.6984000205993652,0.20999997854232788
AND,NZL,0,0.22101235389709473,0.25
AND,NIC,1,0.6693000197410583,0.28999999165534973
AND,NER,1,0.06480000168085098,0
AND,NGA,0,0.11659999191761017,0
AND,NIU,0,0.16279999911785126,0
AND,NFK,0,0.1738000065088272,0.25
AND,MNP,0,0.1825999915599823,0
AND,NOR,0,0.20134897530078888,0.25
AND,OMN,0,0,0
AND,PAK,0,0.02199999988079071,0.25
AND,PLW,0,0.2046000063419342,0
AND,PAN,1,0.641700029373169,0.28999999165534973
AND,PNG,0,0.10999999940395355,0
AND,PRY,1,0.4829999804496765,0
AND,PER,1,0.6003000140190125,0.28999999165534973
AND,PHL,0,0.1391952931880951,0
AND,PCN,0,0.20239999890327454,0.25
AND,POL,0,0.090481698513031,0.25
AND,PRT,0,0.28240400552749634,0.6050000190734863
AND,QAT,0,0,0
AND,KOR,0,0,0
AND,MDA,0,0,0.5
AND,ROU,0,0.24269841611385345,0.5
AND,RUS,0,0.010999999940395355,0.25
AND,RWA,1,0.06480000168085098,0
AND,SHN,0,0.18039999902248383,0.25
AND,KNA,0,0.17159999907016754,0.25
AND,LCA,0,0.10763775557279587,0.20999997854232788
AND,SPM,1,0.7218480110168457,0.20999997854232788
AND,VCT,0,0.20899999141693115,0.25
AND,STP,1,0.46799999475479126,0.6050000190734863
AND,SAU,0,0,0
AND,SEN,1,0.2285599261522293,0
AND,SYC,1,0.47948482632637024,0.6449999809265137
AND,SLE,0,0.18479999899864197,0
AND,SGP,0,0.15619999170303345,0.059999994933605194
AND,SVK,0,0.09020048379898071,0.25
AND,SVN,0,0.1626579612493515,0.25
AND,SLB,0,0.07039999961853027,0
AND,SOM,0,0,0
AND,ZAF,0,0.06379999965429306,0
AND,ESP,1,0.7293040156364441,0.28999999165534973
AND,LKA,0,0.02199999988079071,0.25
AND,SDN,0,0,0
AND,SUR,0,0.19140000641345978,0.2499999850988388
AND,SWE,0,0.29278650879859924,0.25
AND,CHE,1,0.44245120882987976,0.23960000276565552
AND,SYR,0,0,0
AND,TWN,0,0,0
AND,TJK,0,0,0.25
AND,THA,0,0.02199999988079071,0
AND,MKD,0,0,0.25
AND,TGO,1,0.23760001361370087,0
AND,TON,0,0.06599999964237213,0
AND,TTO,0,0.19359999895095825,0.25
AND,TUN,1,0.46080002188682556,0
AND,TUR,0,0.044330719858407974,0
AND,TKM,0,0,0
AND,TCA,0,0.008799999952316284,0.25
AND,TUV,0,0,0
AND,UGA,0,0.01759999990463257,0
AND,UKR,0,0,0.25
AND,ARE,0,0,0
AND,GBR,0,0.39050978422164917,0.25
AND,TZA,0,0.02199999988079071,0
AND,USA,0,0.3039628863334656,0.25600001215934753
AND,URY,1,0.6830999851226807,0.28999999165534973
AND,UZB,0,0,0.03999999910593033
AND,VUT,1,0.44892480969429016,0
AND,VEN,1,0.6830999851226807,0.28999999165534973
AND,VNM,0,0.007200000341981649,0
AND,YEM,0,0,0
AND,ZMB,0,0.03519999980926514,0
AND,ZWE,0,0.09239999949932098,0
AGO,AFG,0,0,0.25
AGO,ALB,0,0,0.25
AGO,DZA,0,0,0
AGO,AND,0,0,0.6050000190734863
AGO,AIA,0,0,0.25
AGO,ATG,0,0,0.25
AGO,ARG,0,0,0.75
AGO,ARM,0,0,0.25
AGO,ABW,0,0,0.5
AGO,AUS,0,0,0.25
AGO,AUT,0,0,0.25
AGO,AZE,0,0,0
