iso3,year,liberal_dem
AZE,1995,0.085
AZE,1996,0.086
AZE,1997,0.086
AZE,1998,0.083
AZE,1999,0.081
AZE,2000,0.083
AZE,2001,0.082
AZE,2002,0.081
AZE,2003,0.076
AZE,2004,0.077
AZE,2005,0.074
AZE,2006,0.073
AZE,2007,0.073
AZE,2008,0.072
AZE,2009,0.072
AZE,2010,0.071
AZE,2011,0.068
AZE,2012,0.068
AZE,2013,0.068
AZE,2014,0.065
AZE,2015,0.065
AZE,2016,0.062
AZE,2017,0.068
AZE,2018,0.059
AZE,2019,0.065
AZE,2020,0.065
BDI,1990,0.088
BDI,1991,0.085
BDI,1992,0.103
BDI,1993,0.169
BDI,1994,0.169
BDI,1995,0.173
BDI,1996,0.157
BDI,1997,0.152
BDI,1998,0.151
BDI,1999,0.152
BDI,2000,0.15
BDI,2001,0.152
BDI,2002,0.153
BDI,2003,0.154
BDI,2004,0.157
BDI,2005,0.15
BDI,2006,0.188
BDI,2007,0.184
BDI,2008,0.184
BDI,2009,0.178
BDI,2010,0.147
BDI,2011,0.138
BDI,2012,0.136
BDI,2013,0.108
BDI,2014,0.1
BDI,2015,0.061
BDI,2016,0.045
BDI,2017,0.047
BDI,2018,0.044
BDI,2019,0.054
BDI,2020,0.052
BEL,1990,0.803
BEL,1991,0.803
BEL,1992,0.81
BEL,1993,0.81
BEL,1994,0.81
BEL,1995,0.816
BEL,1996,0.818
BEL,1997,0.818
BEL,1998,0.817
BEL,1999,0.82
BEL,2000,0.822
BEL,2001,0.822
BEL,2002,0.822
BEL,2003,0.824
BEL,2004,0.8
BEL,2005,0.819
BEL,2006,0.825
BEL,2007,0.832
BEL,2008,0.838
BEL,2009,0.838
BEL,2010,0.836
BEL,2011,0.835
BEL,2012,0.835
BEL,2013,0.842
BEL,2014,0.842
BEL,2015,0.841
BEL,2016,0.84
BEL,2017,0.838
BEL,2018,0.838
BEL,2019,0.839
BEL,2020,0.825
BEN,1990,0.163
BEN,1991,0.368
BEN,1992,0.497
BEN,1993,0.497
BEN,1994,0.497
BEN,1995,0.518
BEN,1996,0.514
BEN,1997,0.506
BEN,1998,0.506
BEN,1999,0.5
BEN,2000,0.503
BEN,2001,0.502
BEN,2002,0.504
BEN,2003,0.499
BEN,2004,0.498
BEN,2005,0.523
BEN,2006,0.544
BEN,2007,0.539
BEN,2008,0.529
BEN,2009,0.529
BEN,2010,0.528
BEN,2011,0.495
BEN,2012,0.49
BEN,2013,0.489
BEN,2014,0.488
BEN,2015,0.534
BEN,2016,0.587
BEN,2017,0.595
BEN,2018,0.485
BEN,2019,0.341
BEN,2020,0.287
BFA,1990,0.104
BFA,1991,0.117
BFA,1992,0.216
BFA,1993,0.257
BFA,1994,0.257
BFA,1995,0.257
BFA,1996,0.259
BFA,1997,0.264
BFA,1998,0.272
BFA,1999,0.311
BFA,2000,0.329
BFA,2001,0.329
BFA,2002,0.328
BFA,2003,0.328
BFA,2004,0.328
BFA,2005,0.33
BFA,2006,0.343
BFA,2007,0.342
BFA,2008,0.343
BFA,2009,0.34
BFA,2010,0.358
BFA,2011,0.361
BFA,2012,0.364
BFA,2013,0.407
BFA,2014,0.422
BFA,2015,0.31
BFA,2016,0.51
BFA,2017,0.518
BFA,2018,0.495
BFA,2019,0.482
BFA,2020,0.485
BGD,1990,0.169
BGD,1991,0.258
BGD,1992,0.27
BGD,1993,0.271
BGD,1994,0.271
BGD,1995,0.271
BGD,1996,0.268
BGD,1997,0.27
BGD,1998,0.27
BGD,1999,0.27
BGD,2000,0.275
BGD,2001,0.267
BGD,2002,0.236
BGD,2003,0.239
BGD,2004,0.232
BGD,2005,0.232
BGD,2006,0.216
BGD,2007,0.105
BGD,2008,0.106
BGD,2009,0.197
BGD,2010,0.174
BGD,2011,0.168
BGD,2012,0.166
BGD,2013,0.144
BGD,2014,0.11
BGD,2015,0.111
BGD,2016,0.111
BGD,2017,0.108
BGD,2018,0.103
BGD,2019,0.096
BGD,2020,0.096
BGR,1990,0.456
BGR,1991,0.513
BGR,1992,0.601
BGR,1993,0.599
BGR,1994,0.597
BGR,1995,0.598
BGR,1996,0.603
BGR,1997,0.613
BGR,1998,0.609
BGR,1999,0.621
BGR,2000,0.623
BGR,2001,0.602
BGR,2002,0.622
BGR,2003,0.622
BGR,2004,0.625
BGR,2005,0.609
BGR,2006,0.611
BGR,2007,0.619
BGR,2008,0.626
BGR,2009,0.596
BGR,2010,0.576
BGR,2011,0.571
BGR,2012,0.568
BGR,2013,0.551
BGR,2014,0.569
BGR,2015,0.571
BGR,2016,0.567
BGR,2017,0.53
BGR,2018,0.517
BGR,2019,0.51
BGR,2020,0.502
BHR,1990,NA
BHR,1991,NA
BHR,1992,NA
BHR,1993,NA
BHR,1994,NA
BHR,1995,NA
BHR,1996,NA
BHR,1997,NA
BHR,1998,NA
BHR,1999,NA
BHR,2000,NA
BHR,2001,NA
BHR,2002,0.078
BHR,2003,0.088
BHR,2004,0.085
BHR,2005,0.085
BHR,2006,0.091
BHR,2007,0.087
BHR,2008,0.087
BHR,2009,0.086
BHR,2010,0.084
BHR,2011,0.045
BHR,2012,0.044
BHR,2013,0.044
BHR,2014,0.045
BHR,2015,0.044
BHR,2016,0.044
BHR,2017,0.042
BHR,2018,0.044
BHR,2019,0.052
BHR,2020,0.052
BIH,1992,0.113
BIH,1993,0.113
BIH,1994,0.072
BIH,1995,0.074
BIH,1996,0.144
BIH,1997,0.339
BIH,1998,0.359
BIH,1999,0.374
BIH,2000,0.4
BIH,2001,0.414
BIH,2002,0.412
BIH,2003,0.435
BIH,2004,0.42
BIH,2005,0.428
BIH,2006,0.416
BIH,2007,0.378
BIH,2008,0.377
BIH,2009,0.381
BIH,2010,0.384
BIH,2011,0.385
BIH,2012,0.386
BIH,2013,0.374
BIH,2014,0.374
BIH,2015,0.368
BIH,2016,0.369
BIH,2017,0.367
BIH,2018,0.348
BIH,2019,0.35
BIH,2020,0.343
BLR,1990,0.345
BLR,1991,0.374
BLR,1992,0.446
BLR,1993,0.443
BLR,1994,0.41
BLR,1995,0.36
BLR,1996,0.217
BLR,1997,0.14
BLR,1998,0.133
BLR,1999,0.116
BLR,2000,0.109
BLR,2001,0.104
BLR,2002,0.102
BLR,2003,0.1
BLR,2004,0.099
BLR,2005,0.097
BLR,2006,0.097
BLR,2007,0.096
BLR,2008,0.098
BLR,2009,0.098
BLR,2010,0.096
BLR,2011,0.095
BLR,2012,0.095
BLR,2013,0.1
BLR,2014,0.1
BLR,2015,0.102
BLR,2016,0.109
BLR,2017,0.11
BLR,2018,0.112
BLR,2019,0.112
BLR,2020,0.047
BOL,1990,0.428
BOL,1991,0.455
BOL,1992,0.465
BOL,1993,0.472
BOL,1994,0.49
BOL,1995,0.496
BOL,1996,0.496
BOL,1997,0.52
BOL,1998,0.522
BOL,1999,0.528
BOL,2000,0.529
BOL,2001,0.524
BOL,2002,0.512
BOL,2003,0.514
BOL,2004,0.546
BOL,2005,0.536
BOL,2006,0.468
