iso3,year,gdp_growth
AFG,1990,..
ALB,1990,-9.57564016993415
DZA,1990,0.800000580172025
ASM,1990,..
AND,1990,3.78138758571333
AGO,1990,-3.45009868500253
ATG,1990,3.01131852927168
ARG,1990,-2.46721377810472
ARM,1990,..
ABW,1990,3.96140172676478
AUS,1990,3.57912304997303
AUT,1990,4.34564139947821
AZE,1990,..
BHS,1990,-1.59624908707553
BHR,1990,4.43799717642639
BGD,1990,5.62225816160704
BRB,1990,-3.30759330759331
BLR,1990,..
BEL,1990,3.13740231557445
BLZ,1990,9.47465201669158
BEN,1990,8.9761343599898
BMU,1990,0.0192122971144499
BTN,1990,10.3831179150235
BOL,1990,4.6357874278518
BIH,1990,..
BWA,1990,6.77282194938265
BRA,1990,-4.35000000000022
VGB,1990,..
BRN,1990,1.08942053548758
BGR,1990,-9.11737709565385
BFA,1990,-0.602928477580988
BDI,1990,3.49982213611253
CPV,1990,0.692171874341298
KHM,1990,1.16231184839386
CMR,1990,-6.10569764600656
CAN,1990,0.2029478627489
CYM,1990,..
CAF,1990,-2.14752806574087
TCD,1990,-4.17847237277677
CHI,1990,..
CHL,1990,3.33356547444561
CHN,1990,3.92025136776577
COL,1990,4.28199833053058
COM,1990,5.09123641339696
COD,1990,-6.56831069464246
COG,1990,1.00000356627487
CRI,1990,3.55306336572285
CIV,1990,-1.09590841238308
HRV,1990,..
CUB,1990,-2.94856494503388
CUW,1990,..
CYP,1990,7.40399950659013
CZE,1990,..
DNK,1990,1.4752442765041
DJI,1990,..
DMA,1990,5.41798356640612
DOM,1990,-5.45431239511258
ECU,1990,3.67991405278418
EGY,1990,5.66702915715834
SLV,1990,4.83290057793786
GNQ,1990,-1.75856408496443
ERI,1990,..
EST,1990,..
SWZ,1990,21.0180005361395
ETH,1990,2.72645178272658
FRO,1990,..
FJI,1990,5.80000271982991
FIN,1990,0.670275844289762
FRA,1990,2.92393508123074
PYF,1990,0.129883207320105
GAB,1990,5.19223727652398
GMB,1990,3.55887936756983
GEO,1990,-14.788785046729
DEU,1990,5.25500608278013
GHA,1990,3.32881788321653
GIB,1990,..
GRC,1990,0
GRL,1990,-11.7195329841585
GRD,1990,4.012611897778
GUM,1990,..
GTM,1990,3.10256317557587
GIN,1990,4.3240627548313
GNB,1990,6.09999998640154
GUY,1990,-3.06748466406728
HTI,1990,1.03812280198248
HND,1990,2.7917489495977
HKG,1990,3.83051898239977
HUN,1990,-3.49665976181716
ISL,1990,1.16937033489131
IND,1990,5.53345456125301
IDN,1990,7.22433460076046
IRN,1990,13.5949264435839
IRQ,1990,57.8178283438571
IRL,1990,8.46652778177712
IMN,1990,4.18697682185547
ISR,1990,7.31519905105782
ITA,1990,1.98577494287171
JAM,1990,4.2005351147029
JPN,1990,4.84092905745234
JOR,1990,-0.275903906110926
KAZ,1990,..
KEN,1990,4.19205097155167
KIR,1990,-5.92105263157895
PRK,1990,..
KOR,1990,9.8775525016936
XKX,1990,..
KWT,1990,-26.2288925217359
KGZ,1990,5.70279663311726
LAO,1990,6.70457869081514
LVA,1990,..
LBN,1990,26.5331600932491
LSO,1990,6.04547332943442
LBR,1990,-51.0308649505917
LBY,1990,3.72013163460873
LIE,1990,2.25287096905899
LTU,1990,..
LUX,1990,5.31993112733795
MAC,1990,7.98031435074297
MDG,1990,3.12890505042525
MWI,1990,5.69229463404044
MYS,1990,9.00852713774628
MDV,1990,16.952297457744
MLI,1990,-2.50239510347761
MLT,1990,6.29139095831171
MHL,1990,2.67624646445803
MRT,1990,-1.7713045332743
MUS,1990,7.18673677111485
MEX,1990,5.25004329944582
FSM,1990,3.74092685650476
MDA,1990,..
MCO,1990,2.64345417053948
MNG,1990,-3.18446017825207
MNE,1990,..
MAR,1990,3.41181222631384
MOZ,1990,0.999992834742287
MMR,1990,2.81693327329158
NAM,1990,2.04745993989432
NRU,1990,-2.81674697710234
NPL,1990,4.63503634691862
NLD,1990,4.18322298634072
NCL,1990,3.6000012717432
NZL,1990,0.153130944080715
NIC,1990,-0.0524997212688305
NER,1990,-1.30847828481959
NGA,1990,11.7768859342069
MKD,1990,..
MNP,1990,..
NOR,1990,1.93229132787364
OMN,1990,-0.130425738129333
PAK,1990,4.45858681509836
PLW,1990,5.43650681834447
